0;0;0;0;x;x;
1;102;49;175;R102G49B175;x;
2;185;52;249;R185G52B249;x;
3;220;100;33;R220G100B33;x;
4;209;145;194;R209G145B194;x;
5;100;86;80;R100G86B80;x;
6;150;83;70;R150G83B70;x;
7;211;67;28;R211G67B28;x;
8;172;186;123;wp_barony_45;x;
9;85;16;69;R85G16B69;x;
10;244;39;57;R244G39B57;x;
11;231;40;104;R231G40B104;x;
12;140;202;156;R140G202B156;x;
13;121;127;175;R121G127B175;x;
14;57;115;156;R57G115B156;x;
15;232;218;137;R232G218B137;x;
16;1;99;175;R1G99B175;x;
17;78;89;232;R78G89B232;x;
18;132;18;199;R132G18B199;x;
19;19;101;162;R19G101B162;x;
20;177;190;131;R177G190B131;x;
21;15;251;9;R15G251B9;x;
22;188;236;213;R188G236B213;x;
23;94;75;15;R94G75B15;x;
24;33;150;47;limgrave_barony_187;x;
25;177;201;249;R177G201B249;x;
26;169;191;22;R169G191B22;x;
27;44;195;74;R44G195B74;x;
28;191;123;96;limgrave_barony_132;x;
29;205;191;124;R205G191B124;x;
30;239;187;71;R239G187B71;x;
31;189;28;168;R189G28B168;x;
32;58;58;235;R58G58B235;x;
33;78;119;28;R78G119B28;x;
34;31;24;137;R31G24B137;x;
35;34;110;233;R34G110B233;x;
36;20;89;227;R20G89B227;x;
37;61;182;248;R61G182B248;x;
38;246;246;97;R246G246B97;x;
39;133;23;57;R133G23B57;x;
40;199;186;6;R199G186B6;x;
41;163;26;225;R163G26B225;x;
42;42;221;219;R42G221B219;x;
43;78;242;185;R78G242B185;x;
44;208;193;198;R208G193B198;x;
45;206;84;199;R206G84B199;x;
46;26;233;88;R26G233B88;x;
47;129;246;186;R129G246B186;x;
48;78;177;213;limgrave_barony_179;x;
49;234;135;55;R234G135B55;x;
50;108;7;63;R108G7B63;x;
51;212;160;91;R212G160B91;x;
52;228;230;13;R228G230B13;x;
53;225;199;131;R225G199B131;x;
54;63;134;196;R63G134B196;x;
55;236;129;153;R236G129B153;x;
56;53;108;237;R53G108B237;x;
57;192;166;68;R192G166B68;x;
58;21;63;15;R21G63B15;x;
59;224;152;44;R224G152B44;x;
60;231;23;38;limgrave_barony_15;x;
61;126;142;205;R126G142B205;x;
62;240;182;186;R240G182B186;x;
63;142;48;97;R142G48B97;x;
64;190;65;55;R190G65B55;x;
65;81;115;242;R81G115B242;x;
66;67;106;117;R67G106B117;x;
67;76;110;15;R76G110B15;x;
68;3;237;135;R3G237B135;x;
69;57;8;120;R57G8B120;x;
70;116;97;2;R116G97B2;x;
71;83;87;164;R83G87B164;x;
72;213;41;252;R213G41B252;x;
73;66;239;190;R66G239B190;x;
74;55;22;244;limgrave_barony_95;x;
75;74;90;16;R74G90B16;x;
76;101;220;102;R101G220B102;x;
77;134;125;111;R134G125B111;x;
78;194;130;85;R194G130B85;x;
79;202;170;162;R202G170B162;x;
80;13;160;197;R13G160B197;x;
81;74;248;154;R74G248B154;x;
82;126;35;240;R126G35B240;x;
83;183;124;54;R183G124B54;x;
84;189;105;161;R189G105B161;x;
85;239;143;237;R239G143B237;x;
86;10;24;156;R10G24B156;x;
87;96;184;42;R96G184B42;x;
88;118;28;235;R118G28B235;x;
89;122;224;154;R122G224B154;x;
90;141;141;118;R141G141B118;x;
91;115;100;30;R115G100B30;x;
92;221;135;187;R221G135B187;x;
93;175;193;168;R175G193B168;x;
94;9;238;157;R9G238B157;x;
95;97;4;7;R97G4B7;x;
96;189;179;2;limgrave_barony_99;x;
97;185;133;142;R185G133B142;x;
98;32;197;216;R32G197B216;x;
99;164;212;184;R164G212B184;x;
100;71;226;129;R71G226B129;x;
101;109;60;33;R109G60B33;x;
102;250;149;100;R250G149B100;x;
103;84;239;26;R84G239B26;x;
104;74;122;83;R74G122B83;x;
105;173;103;136;R173G103B136;x;
106;160;38;150;R160G38B150;x;
107;211;12;13;R211G12B13;x;
108;0;210;31;R0G210B31;x;
109;110;42;9;R110G42B9;x;
110;135;27;209;limgrave_barony_184;x;
111;48;68;143;R48G68B143;x;
112;242;62;208;R242G62B208;x;
113;5;114;184;R5G114B184;x;
114;243;60;42;R243G60B42;x;
115;59;97;133;R59G97B133;x;
116;193;97;22;R193G97B22;x;
117;73;253;149;R73G253B149;x;
118;238;99;192;R238G99B192;x;
119;77;31;64;R77G31B64;x;
120;101;19;123;R101G19B123;x;
121;197;29;51;R197G29B51;x;
122;0;67;178;R0G67B178;x;
123;93;160;45;R93G160B45;x;
124;84;24;33;R84G24B33;x;
125;46;140;72;R46G140B72;x;
126;235;175;143;R235G175B143;x;
127;109;184;8;R109G184B8;x;
128;220;66;107;R220G66B107;x;
129;104;201;201;R104G201B201;x;
130;95;141;103;wp_barony_66;x;
131;75;24;44;R75G24B44;x;
132;49;86;168;R49G86B168;x;
133;199;25;19;R199G25B19;x;
134;93;215;223;R93G215B223;x;
135;42;122;109;R42G122B109;x;
136;90;39;13;wp_barony_6;x;
137;59;92;17;R59G92B17;x;
138;114;102;9;R114G102B9;x;
139;225;96;250;R225G96B250;x;
